messages,label
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",Non-Spam
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,Spam
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Non-Spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",Spam
"Sorry, I'll call later in meeting.",Non-Spam
Tell where you reached,Non-Spam
Yes..gauti and sehwag out of odi series.,Non-Spam
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Non-Spam
Ha ha ha good joke. Girls are situation seekers.,Non-Spam
Its a part of checking IQ,Non-Spam
"Sorry my roommates took forever, it ok if I come by now?",Non-Spam
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Non-Spam
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",Spam
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",Non-Spam
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Spam
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",Spam
I plane to give on this month end.,Non-Spam
Wah lucky man... Then can save money... Hee...,Non-Spam
Finished class where are you.,Non-Spam
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,Non-Spam
K..k:)where are you?how did you performed?,Non-Spam
U can call me now...,Non-Spam
I am waiting machan. Call me once you free.,Non-Spam
Thats cool. i am a gentleman and will treat you with dignity and respect.,Non-Spam
I like you peoples very much:) but am very shy pa.,Non-Spam
Does not operate after  &lt;#&gt;  or what,Non-Spam
Its not the same here. Still looking for a job. How much do Ta's earn there.,Non-Spam
"Sorry, I'll call later",Non-Spam
K. Did you call me just now ah? ,Non-Spam
Ok i am on the way to home hi hi,Non-Spam
You will be in the place of that man,Non-Spam
Yup next stop.,Non-Spam
"I call you later, don't have network. If urgnt, sms me.",Non-Spam
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Non-Spam
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Non-Spam
I'm really not up to it still tonight babe,Non-Spam
"Ela kano.,il download, come wen ur free..",Non-Spam
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,Non-Spam
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Non-Spam
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Non-Spam
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,Spam
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Non-Spam
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",Spam
Watching telugu movie..wat abt u?,Non-Spam
i see. When we finish we have loads of loans to pay,Non-Spam
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",Non-Spam
Please don't text me anymore. I have nothing else to say.,Non-Spam
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Non-Spam
I'm still looking for a car to buy. And have not gone 4the driving test yet.,Non-Spam
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Non-Spam
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",Non-Spam
Umma my life and vava umma love you lot dear,Non-Spam
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Non-Spam
"Aight, I'll hit you up when I get some cash",Non-Spam
How would my ip address test that considering my computer isn't a minecraft server,Non-Spam
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,Non-Spam
Dont worry. I guess he's busy.,Non-Spam
What is the plural of the noun research?,Non-Spam
Going for dinner.msg you after.,Non-Spam
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Non-Spam
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Spam
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",Non-Spam
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",Non-Spam
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,Spam
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Non-Spam
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Non-Spam
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,Spam
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",Spam
here is my new address -apples&pairs&all that malarky,Non-Spam
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Spam
I am going to sao mu today. Will be done only at 12 ,Non-Spam
ÌÏ predict wat time Ì_'ll finish buying?,Non-Spam
"Good stuff, will do.",Non-Spam
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",Non-Spam
Are you there in room.,Non-Spam
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,Non-Spam
K..k:)how much does it cost?,Non-Spam
I'm home.,Non-Spam
"Dear, will call Tmorrow.pls accomodate.",Non-Spam
First answer my question.,Non-Spam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,Spam
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Spam
I only haf msn. It's yijue@hotmail.com,Non-Spam
He is there. You call and meet him,Non-Spam
No no. I will check all rooms befor activities,Non-Spam
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,Spam
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,Non-Spam
"K, text me when you're on the way",Non-Spam
"Sir, Waiting for your mail.",Non-Spam
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",Non-Spam
I know you are. Can you pls open the back?,Non-Spam
Yes see ya not on the dot,Non-Spam
Whats the staff name who is taking class for us?,Non-Spam
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",Spam
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Non-Spam
K..i deleted my contact that why?,Non-Spam
Sindu got job in birla soft ..,Non-Spam
The wine is flowing and i'm i have nevering..,Non-Spam
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Non-Spam
Ok... Ur typical reply...,Non-Spam
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Non-Spam
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",Non-Spam
Aaooooright are you at work?,Non-Spam
I'm leaving my house now...,Non-Spam
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",Non-Spam
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Spam
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,Spam
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Non-Spam
New car and house for my parents.:)i have only new job in hand:),Non-Spam
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,Non-Spam
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,Spam
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",Spam
I place all ur points on e cultures module already.,Non-Spam
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,Spam
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",Non-Spam
Great escape. I fancy the bridge but needs her lager. See you tomo ,Non-Spam
Yes :)it completely in out of form:)clark also utter waste.,Non-Spam
"Sir, I need AXIS BANK account no and bank address.",Non-Spam
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",Non-Spam
What time you coming down later? ,Non-Spam
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",Non-Spam
"Well, i'm gonna finish my bath now. Have a good...fine night.",Non-Spam
Let me know when you've got the money so carlos can make the call,Non-Spam
U still going to the mall?,Non-Spam
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",Non-Spam
Text her. If she doesnt reply let me know so i can have her log in,Non-Spam
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Non-Spam
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,Non-Spam
Lol no. U can trust me.,Non-Spam
ok. I am a gentleman and will treat you with dignity and respect.,Non-Spam
"He will, you guys close?",Non-Spam
Going on nothing great.bye,Non-Spam
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,Non-Spam
"Haha awesome, be there in a minute",Non-Spam
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,Spam
Have you got Xmas radio times. If not i will get it now,Non-Spam
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,Non-Spam
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,Spam
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,Non-Spam
Hi :)finally i completed the course:),Non-Spam
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,Non-Spam
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,Non-Spam
Gud mrng dear hav a nice day,Non-Spam
Did u got that persons story,Non-Spam
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,Non-Spam
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,Non-Spam
"Found it, ENC  &lt;#&gt; , where you at?",Non-Spam
I sent you  &lt;#&gt;  bucks,Non-Spam
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,Non-Spam
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Non-Spam
Goodmorning sleeping ga.,Non-Spam
U call me alter at 11 ok.,Non-Spam
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,Non-Spam
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",Non-Spam
"Aight yo, dats straight dogg",Non-Spam
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,Non-Spam
Both :) i shoot big loads so get ready!,Non-Spam
"What's up bruv, hope you had a great break. Do have a rewarding semester.",Non-Spam
Home so we can always chat,Non-Spam
K:)k:)good:)study well.,Non-Spam
Yup... How Ì_ noe leh...,Non-Spam
Sounds great! Are you home now?,Non-Spam
Finally the match heading towards draw as your prediction.,Non-Spam
Tired. I haven't slept well the past few nights.,Non-Spam
Easy ah?sen got selected means its good..,Non-Spam
I have to take exam with march 3,Non-Spam
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,Non-Spam
Ok no prob. Take ur time.,Non-Spam
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,Non-Spam
"Sorry, I'll call later",Non-Spam
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,Non-Spam
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",Spam
Would really appreciate if you call me. Just need someone to talk to.,Non-Spam
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",Spam
Hey company elama po mudyadhu.,Non-Spam
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",Non-Spam
Dear good morning now only i am up,Non-Spam
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,Non-Spam
Dear we are going to our rubber place,Non-Spam
"Sorry battery died, yeah I'm here",Non-Spam
Yes:)here tv is always available in work place..,Non-Spam
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,Spam
I have printed it oh. So  &lt;#&gt;  come upstairs,Non-Spam
Or ill be a little closer like at the bus stop on the same street,Non-Spam
Where are you?when wil you reach here?,Non-Spam
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",Non-Spam
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,Spam
Tomarrow final hearing on my laptop case so i cant.,Non-Spam
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,Non-Spam
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",Non-Spam
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",Non-Spam
U don't remember that old commercial?,Non-Spam
Too late. I said i have the website. I didn't i have or dont have the slippers,Non-Spam
I asked you to call him now ok,Non-Spam
Kallis wont bat in 2nd innings.,Non-Spam
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,Non-Spam
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,Spam
Ranjith cal drpd Deeraj and deepak 5min hold,Non-Spam
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",Non-Spam
What you doing?how are you?,Non-Spam
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",Non-Spam
"I'm back, lemme know when you're ready",Non-Spam
Don't necessarily expect it to be done before you get back though because I'm just now headin out,Non-Spam
Mmm so yummy babe ... Nice jolt to the suzy,Non-Spam
Where are you lover ? I need you ...,Non-Spam
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,Spam
IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,Non-Spam
Yup,Non-Spam
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,Non-Spam
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,Non-Spam
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,Spam
Why you Dint come with us.,Non-Spam
Same. Wana plan a trip sometme then,Non-Spam
"Not sure yet, still trying to get a hold of him",Non-Spam
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,Spam
The evo. I just had to download flash. Jealous?,Non-Spam
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,Spam
"Come to mu, we're sorting out our narcotics situation",Non-Spam
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",Non-Spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,Spam
"Usf I guess, might as well take 1 car",Non-Spam
No objection. My bf not coming.,Non-Spam
Thanx...,Non-Spam
Tell rob to mack his gf in the theater,Non-Spam
"Awesome, I'll see you in a bit",Non-Spam
Just sent it. So what type of food do you like?,Non-Spam
All done? All handed in? Celebrations in full swing yet?,Non-Spam
You got called a tool?,Non-Spam
\Wen u miss someone,Non-Spam
Ok. I asked for money how far,Non-Spam
Okie...,Non-Spam
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",Non-Spam
"K, I might come by tonight then if my class lets out early",Non-Spam
Ok..,Non-Spam
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,Non-Spam
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",Non-Spam
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",Non-Spam
Hey you told your name to gautham ah?,Non-Spam
Haf u found him? I feel so stupid da v cam was working.,Non-Spam
Oops. 4 got that bit.,Non-Spam
Are you this much buzy,Non-Spam
I accidentally deleted the message. Resend please.,Non-Spam
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,Spam
Unless it's a situation where YOU GO GURL would be more appropriate,Non-Spam
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,Non-Spam
I cant pick the phone right now. Pls send a message,Non-Spam
Need a coffee run tomo?Can't believe it's that time of week already,Non-Spam
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",Non-Spam
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",Non-Spam
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,Non-Spam
He is a womdarfull actor,Non-Spam
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",Spam
Yup... From what i remb... I think should be can book... ,Non-Spam
Jos ask if u wana meet up?,Non-Spam
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,Non-Spam
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",Spam
Where are the garage keys? They aren't on the bookshelf,Non-Spam
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,Non-Spam
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",Spam
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,Non-Spam
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",Non-Spam
You made my day. Do have a great day too.,Non-Spam
K.k:)advance happy pongal.,Non-Spam
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",Non-Spam
"Not really dude, have no friends i'm afraid :(",Non-Spam
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,Spam
"Coffee cake, i guess...",Non-Spam
"Merry Christmas to you too babe, i love ya *kisses*",Non-Spam
Hey... Why dont we just go watch x men and have lunch... Haha ,Non-Spam
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,Non-Spam
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,Non-Spam
No problem. How are you doing?,Non-Spam
No calls..messages..missed calls,Non-Spam
Hi da:)how is the todays class?,Non-Spam
"I'd say that's a good sign but, well, you know my track record at reading women",Non-Spam
"Cool, text me when you're parked",Non-Spam
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,Non-Spam
K.k:)apo k.good movie.,Non-Spam
Maybe i could get book out tomo then return it immediately ..? Or something.,Non-Spam
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,Spam
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,Non-Spam
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,Spam
"Ta-Daaaaa! I am home babe, are you still up ?",Non-Spam
Cool. So how come you havent been wined and dined before?,Non-Spam
Just sleeping..and surfing,Non-Spam
"Sorry, I'll call later",Non-Spam
U calling me right? Call my hand phone...,Non-Spam
Ok that's great thanx a lot.,Non-Spam
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,Non-Spam
Where u been hiding stranger?,Non-Spam
Am not interested to do like that.,Non-Spam
My sister cleared two round in birla soft yesterday.,Non-Spam
Gudnite....tc...practice going on,Non-Spam
